"Race Statistics" ,"Number of Precincts" ,"NP" ,"Total" ,442 ,
"Race Statistics" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,433 ,
"US REPRESENTATIVE" ,"Number of Precincts for Race" ,"NP" ,"Total" ,441 ,
"US REPRESENTATIVE" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,433 ,
"US REPRESENTATIVE" ,"Registered Voters" ,"NP" ,"Total" ,571851 ,
"US REPRESENTATIVE" ,"Times Counted" ,"NP" ,"Total" ,236972 ,
"US REPRESENTATIVE" ,"Galvin, Alyse S." ,"DEM" ,"Total" ,107165 ,
"US REPRESENTATIVE" ,"Young, Don" ,"REP" ,"Total" ,126655 ,
"US REPRESENTATIVE" ,"Write-in" ,"NP" ,"Total" ,981 ,
"GOVERNOR/LT. GOVERNOR" ,"Number of Precincts for Race" ,"NP" ,"Total" ,440 ,
"GOVERNOR/LT. GOVERNOR" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,432 ,
"GOVERNOR/LT. GOVERNOR" ,"Registered Voters" ,"NP" ,"Total" ,571320 ,
"GOVERNOR/LT. GOVERNOR" ,"Times Counted" ,"NP" ,"Total" ,236923 ,
"GOVERNOR/LT. GOVERNOR" ,"Begich/Call" ,"DEM" ,"Total" ,102654 ,
"GOVERNOR/LT. GOVERNOR" ,"Dunleavy/Meyer" ,"REP" ,"Total" ,123447 ,
"GOVERNOR/LT. GOVERNOR" ,"Toien/Clift" ,"LIB" ,"Total" ,4327 ,
"GOVERNOR/LT. GOVERNOR" ,"Walker/Mallott" ,"NA" ,"Total" ,4700 ,
"GOVERNOR/LT. GOVERNOR" ,"Write-in" ,"NP" ,"Total" ,483 ,
"SENATE DISTRICT A" ,"Number of Precincts for Race" ,"NP" ,"Total" ,13 ,
"SENATE DISTRICT A" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,13 ,
"SENATE DISTRICT A" ,"Registered Voters" ,"NP" ,"Total" ,24772 ,
"SENATE DISTRICT A" ,"Times Counted" ,"NP" ,"Total" ,8195 ,
"SENATE DISTRICT A" ,"Kawasaki, Scott" ,"DEM" ,"Total" ,4037 ,
"SENATE DISTRICT A" ,"Kelly, Pete" ,"REP" ,"Total" ,4048 ,
"SENATE DISTRICT A" ,"Write-in" ,"NP" ,"Total" ,35 ,
"SENATE DISTRICT C" ,"Number of Precincts for Race" ,"NP" ,"Total" ,42 ,
"SENATE DISTRICT C" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,42 ,
"SENATE DISTRICT C" ,"Registered Voters" ,"NP" ,"Total" ,28540 ,
"SENATE DISTRICT C" ,"Times Counted" ,"NP" ,"Total" ,12025 ,
"SENATE DISTRICT C" ,"Bishop, Click" ,"REP" ,"Total" ,8923 ,
"SENATE DISTRICT C" ,"Write-in" ,"NP" ,"Total" ,739 ,
"SENATE DISTRICT E" ,"Number of Precincts for Race" ,"NP" ,"Total" ,22 ,
"SENATE DISTRICT E" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,22 ,
"SENATE DISTRICT E" ,"Registered Voters" ,"NP" ,"Total" ,31776 ,
"SENATE DISTRICT E" ,"Times Counted" ,"NP" ,"Total" ,13571 ,
"SENATE DISTRICT E" ,"Kay, Susan" ,"DEM" ,"Total" ,3208 ,
"SENATE DISTRICT E" ,"Shower, Michael K." ,"REP" ,"Total" ,9988 ,
"SENATE DISTRICT E" ,"Write-in" ,"NP" ,"Total" ,40 ,
"SENATE DISTRICT G" ,"Number of Precincts for Race" ,"NP" ,"Total" ,13 ,
"SENATE DISTRICT G" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,13 ,
"SENATE DISTRICT G" ,"Registered Voters" ,"NP" ,"Total" ,29153 ,
"SENATE DISTRICT G" ,"Times Counted" ,"NP" ,"Total" ,11490 ,
"SENATE DISTRICT G" ,"Schiess, Oliver" ,"DEM" ,"Total" ,4214 ,
"SENATE DISTRICT G" ,"Reinbold, Lora H." ,"REP" ,"Total" ,7084 ,
"SENATE DISTRICT G" ,"Write-in" ,"NP" ,"Total" ,59 ,
"SENATE DISTRICT I" ,"Number of Precincts for Race" ,"NP" ,"Total" ,17 ,
"SENATE DISTRICT I" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,17 ,
"SENATE DISTRICT I" ,"Registered Voters" ,"NP" ,"Total" ,26979 ,
"SENATE DISTRICT I" ,"Times Counted" ,"NP" ,"Total" ,10227 ,
"SENATE DISTRICT I" ,"Gray-Jackson, Elvi" ,"DEM" ,"Total" ,6006 ,
"SENATE DISTRICT I" ,"Crawford, Jim" ,"REP" ,"Total" ,3988 ,
"SENATE DISTRICT I" ,"Write-in" ,"NP" ,"Total" ,34 ,
"SENATE DISTRICT K" ,"Number of Precincts for Race" ,"NP" ,"Total" ,15 ,
"SENATE DISTRICT K" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,15 ,
"SENATE DISTRICT K" ,"Registered Voters" ,"NP" ,"Total" ,29067 ,
