candidate,county,district name,party,race name,votes
Gavin Newsom,Statewide,,DEM,Governor,"4,251,310"
John H. Cox,Statewide,,REP,Governor,"2,918,016"
Gavin Newsom,Alameda,,DEM,Governor,"196,132"
John H. Cox,Alameda,,REP,Governor,"55,248"
Gavin Newsom,Alpine,,DEM,Governor,363
John H. Cox,Alpine,,REP,Governor,220
Gavin Newsom,Amador,,DEM,Governor,"5,473"
John H. Cox,Amador,,REP,Governor,"10,060"
Gavin Newsom,Butte,,DEM,Governor,"32,330"
John H. Cox,Butte,,REP,Governor,"38,443"
Gavin Newsom,Calaveras,,DEM,Governor,"5,898"
John H. Cox,Calaveras,,REP,Governor,"10,321"
Gavin Newsom,Colusa,,DEM,Governor,"1,647"
John H. Cox,Colusa,,REP,Governor,"3,250"
Gavin Newsom,Contra Costa,,DEM,Governor,"151,708"
John H. Cox,Contra Costa,,REP,Governor,"78,371"
Gavin Newsom,Del Norte,,DEM,Governor,"2,856"
John H. Cox,Del Norte,,REP,Governor,"4,185"
Gavin Newsom,El Dorado,,DEM,Governor,"25,924"
John H. Cox,El Dorado,,REP,Governor,"38,144"
Gavin Newsom,Fresno,,DEM,Governor,"69,755"
John H. Cox,Fresno,,REP,Governor,"82,871"
Gavin Newsom,Glenn,,DEM,Governor,"1,125"
John H. Cox,Glenn,,REP,Governor,"2,938"
Gavin Newsom,Humboldt,,DEM,Governor,"17,686"
John H. Cox,Humboldt,,REP,Governor,"11,074"
Gavin Newsom,Imperial,,DEM,Governor,"12,002"
John H. Cox,Imperial,,REP,Governor,"8,175"
Gavin Newsom,Inyo,,DEM,Governor,"2,120"
John H. Cox,Inyo,,REP,Governor,"2,731"
Gavin Newsom,Kern,,DEM,Governor,"49,396"
John H. Cox,Kern,,REP,Governor,"82,062"
Gavin Newsom,Kings,,DEM,Governor,"7,443"
John H. Cox,Kings,,REP,Governor,"12,353"
Gavin Newsom,Lake,,DEM,Governor,"6,740"
John H. Cox,Lake,,REP,Governor,"6,619"
Gavin Newsom,Lassen,,DEM,Governor,"1,845"
John H. Cox,Lassen,,REP,Governor,"6,166"
Gavin Newsom,Los Angeles,,DEM,Governor,"1,343,792"
John H. Cox,Los Angeles,,REP,Governor,"579,562"
Gavin Newsom,Madera,,DEM,Governor,"10,566"
John H. Cox,Madera,,REP,Governor,"17,307"
Gavin Newsom,Marin,,DEM,Governor,"58,315"
John H. Cox,Marin,,REP,Governor,"16,995"
Gavin Newsom,Mariposa,,DEM,Governor,"2,575"
John H. Cox,Mariposa,,REP,Governor,"4,141"
Gavin Newsom,Mendocino,,DEM,Governor,"9,917"
John H. Cox,Mendocino,,REP,Governor,"5,696"
Gavin Newsom,Merced,,DEM,Governor,"15,679"
John H. Cox,Merced,,REP,Governor,"16,412"
Gavin Newsom,Modoc,,DEM,Governor,769
John H. Cox,Modoc,,REP,Governor,"2,497"
Gavin Newsom,Mono,,DEM,Governor,"2,355"
John H. Cox,Mono,,REP,Governor,"1,922"
Gavin Newsom,Monterey,,DEM,Governor,"44,475"
John H. Cox,Monterey,,REP,Governor,"25,631"
Gavin Newsom,Napa,,DEM,Governor,"13,105"
John H. Cox,Napa,,REP,Governor,"8,431"
Gavin Newsom,Nevada,,DEM,Governor,"13,239"
John H. Cox,Nevada,,REP,Governor,"12,758"
Gavin Newsom,Orange,,DEM,Governor,"305,427"
John H. Cox,Orange,,REP,Governor,"349,942"
Gavin Newsom,Placer,,DEM,Governor,"38,554"
John H. Cox,Placer,,REP,Governor,"56,732"
Gavin Newsom,Plumas,,DEM,Governor,"3,042"
John H. Cox,Plumas,,REP,Governor,"5,216"
Gavin Newsom,Riverside,,DEM,Governor,"138,289"
John H. Cox,Riverside,,REP,Governor,"156,640"
Gavin Newsom,Sacramento,,DEM,Governor,"102,446"
John H. Cox,Sacramento,,REP,Governor,"80,905"
Gavin Newsom,San Benito,,DEM,Governor,"5,989"
John H. Cox,San Benito,,REP,Governor,"5,219"
Gavin Newsom,San Bernardino,,DEM,Governor,"156,234"
