County,Race,Candidate,Party,Votes,PercentageOfTotalVotes,JurisdictionName
Adams,State Measures Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,Yes,,544,18.4407,State Executive
Adams,State Measures Initiative Measure No. 1631 Initiative Measure No. 1631 concerns pollution.,No,,2406,81.5593,State Executive
Adams,State Measures Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,Yes,,2042,68.9399,State Executive
Adams,State Measures Initiative Measure No. 1634 Initiative Measure No. 1634 concerns taxation of certain items intended for human consumption. ,No,,920,31.0601,State Executive
Adams,State Measures Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,Yes,,1024,34.618,State Executive
Adams,State Measures Initiative Measure No. 1639 Initiative Measure No. 1639 concerns firearms.,No,,1934,65.382,State Executive
Adams,State Measures Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,Yes,,1227,41.9487,State Executive
Adams,State Measures Initiative to the Legislature 940 Initiative Measure No. 940 concerns law enforcement.,No,,1698,58.0513,State Executive
Adams,Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Repealed,,2234,79.4735,State Executive
Adams,Advisory Votes Advisory Vote No. 19 Engrossed Second Substitute Senate Bill 6269,Maintained,,577,20.5265,State Executive
Adams,ADAMS COUNTY Special Election Proposition 1 Adams County Sales and Use Tax,Approved,,1508,51.5908,County
Adams,ADAMS COUNTY Special Election Proposition 1 Adams County Sales and Use Tax,Rejected,,1415,48.4092,County
Adams,United States U.S. Senator,Maria Cantwell,(Prefers Democratic Party),915,30.6635,Federal
Adams,United States U.S. Senator,Susan Hutchison,(Prefers Republican Party),2069,69.3365,Federal
Adams,Congressional District 4 U.S. Representative,Dan Newhouse,(Prefers Republican Party),2244,75.2011,Congressional
Adams,Congressional District 4 U.S. Representative,Christine Brown,(Prefers Democratic Party),740,24.7989,Congressional
Adams,Legislative District 9 State Representative Pos. 1,Mary Dye,(Prefers Republican Party),2264,76.4865,Legislative
Adams,Legislative District 9 State Representative Pos. 1,Jenn Goulet,(Prefers Democratic Party),696,23.5135,Legislative
Adams,Legislative District 9 State Representative Pos. 2,Joe Schmick,(Prefers GOP Party),2173,74.088,Legislative
