race name,county,precincts reporting,candidate,votes
Governor,Apache,100.00%,"Ducey, Doug (REP)","9,127"
Governor,Apache,100.00%,"Garcia, David (DEM)","14,805"
Governor,Apache,100.00%,"Torres, Angel (GRN)",902
Governor,Apache,100.00%,TOTAL,"24,834"
Governor,Cochise,100.00%,"Ducey, Doug (REP)","28,805"
Governor,Cochise,100.00%,"Garcia, David (DEM)","14,000"
Governor,Cochise,100.00%,"Torres, Angel (GRN)","1,126"
Governor,Cochise,100.00%,TOTAL,"43,931"
Governor,Coconino,100.00%,"Ducey, Doug (REP)","18,962"
Governor,Coconino,100.00%,"Garcia, David (DEM)","24,853"
Governor,Coconino,100.00%,"Torres, Angel (GRN)","1,114"
Governor,Coconino,100.00%,TOTAL,"44,929"
Governor,Gila,100.00%,"Ducey, Doug (REP)","14,059"
Governor,Gila,100.00%,"Garcia, David (DEM)","5,412"
Governor,Gila,100.00%,"Torres, Angel (GRN)",444
Governor,Gila,100.00%,TOTAL,"19,915"
Governor,Graham,100.00%,"Ducey, Doug (REP)","7,776"
Governor,Graham,100.00%,"Garcia, David (DEM)","2,569"
Governor,Graham,100.00%,"Torres, Angel (GRN)",276
Governor,Graham,100.00%,TOTAL,"10,621"
Governor,Greenlee,100.00%,"Ducey, Doug (REP)","1,637"
Governor,Greenlee,100.00%,"Garcia, David (DEM)",832
Governor,Greenlee,100.00%,"Torres, Angel (GRN)",80
Governor,Greenlee,100.00%,TOTAL,"2,549"
Governor,LaPaz,100.00%,"Ducey, Doug (REP)","3,431"
Governor,LaPaz,100.00%,"Garcia, David (DEM)","1,015"
Governor,LaPaz,100.00%,"Torres, Angel (GRN)",113
Governor,LaPaz,100.00%,TOTAL,"4,559"
Governor,Maricopa,99.73%,"Ducey, Doug (REP)","624,597"
Governor,Maricopa,99.73%,"Garcia, David (DEM)","449,590"
Governor,Maricopa,99.73%,"Torres, Angel (GRN)","21,716"
Governor,Maricopa,99.73%,TOTAL,"1,095,903"
Governor,Mohave,100.00%,"Ducey, Doug (REP)","51,808"
Governor,Mohave,100.00%,"Garcia, David (DEM)","12,252"
Governor,Mohave,100.00%,"Torres, Angel (GRN)","1,145"
Governor,Mohave,100.00%,TOTAL,"65,205"
Governor,Navajo,100.00%,"Ducey, Doug (REP)","19,696"
Governor,Navajo,100.00%,"Garcia, David (DEM)","12,597"
Governor,Navajo,100.00%,"Torres, Angel (GRN)",946
Governor,Navajo,100.00%,TOTAL,"33,239"
Governor,Pima,99.20%,"Ducey, Doug (REP)","158,543"
Governor,Pima,99.20%,"Garcia, David (DEM)","159,160"
Governor,Pima,99.20%,"Torres, Angel (GRN)","6,766"
Governor,Pima,99.20%,TOTAL,"324,469"
Governor,Pinal,99.02%,"Ducey, Doug (REP)","55,334"
Governor,Pinal,99.02%,"Garcia, David (DEM)","26,374"
Governor,Pinal,99.02%,"Torres, Angel (GRN)","1,770"
Governor,Pinal,99.02%,TOTAL,"83,478"
Governor,SantaCruz,100.00%,"Ducey, Doug (REP)","4,531"
Governor,SantaCruz,100.00%,"Garcia, David (DEM)","7,772"
Governor,SantaCruz,100.00%,"Torres, Angel (GRN)",248
Governor,SantaCruz,100.00%,TOTAL,"12,551"
Governor,Yavapai,100.00%,"Ducey, Doug (REP)","70,386"
Governor,Yavapai,100.00%,"Garcia, David (DEM)","30,305"
Governor,Yavapai,100.00%,"Torres, Angel (GRN)","1,889"
Governor,Yavapai,100.00%,TOTAL,"102,580"
Governor,Yuma,97.73%,"Ducey, Doug (REP)","22,367"
Governor,Yuma,97.73%,"Garcia, David (DEM)","16,746"
Governor,Yuma,97.73%,"Torres, Angel (GRN)",740
Governor,Yuma,97.73%,TOTAL,"39,853"
Governor,TOTAL,  ,"Ducey, Doug (REP)","1,091,059"
Governor,TOTAL,  ,"Garcia, David (DEM)","778,282"
Governor,TOTAL,  ,"Torres, Angel (GRN)","39,275"
Governor,TOTAL,  ,TOTAL,"1,908,616"
Secretary of State,Apache,100.00%,"Gaynor, Steve (REP)","7,842"
Secretary of State,Apache,100.00%,"Hobbs, Katie (DEM)","16,871"
Secretary of State,Apache,100.00%,TOTAL,"24,713"
Secretary of State,Cochise,100.00%,"Gaynor, Steve (REP)","25,418"
Secretary of State,Cochise,100.00%,"Hobbs, Katie (DEM)","18,027"
Secretary of State,Cochise,100.00%,TOTAL,"43,445"
Secretary of State,Coconino,100.00%,"Gaynor, Steve (REP)","16,462"
Secretary of State,Coconino,100.00%,"Hobbs, Katie (DEM)","27,765"
Secretary of State,Coconino,100.00%,TOTAL,"44,227"
Secretary of State,Gila,100.00%,"Gaynor, Steve (REP)","12,455"
Secretary of State,Gila,100.00%,"Hobbs, Katie (DEM)","7,262"
Secretary of State,Gila,100.00%,TOTAL,"19,717"
Secretary of State,Graham,100.00%,"Gaynor, Steve (REP)","7,061"
Secretary of State,Graham,100.00%,"Hobbs, Katie (DEM)","3,476"
Secretary of State,Graham,100.00%,TOTAL,"10,537"
Secretary of State,Greenlee,100.00%,"Gaynor, Steve (REP)","1,437"
Secretary of State,Greenlee,100.00%,"Hobbs, Katie (DEM)","1,084"
Secretary of State,Greenlee,100.00%,TOTAL,"2,521"
Secretary of State,LaPaz,100.00%,"Gaynor, Steve (REP)","3,044"
Secretary of State,LaPaz,100.00%,"Hobbs, Katie (DEM)","1,443"
Secretary of State,LaPaz,100.00%,TOTAL,"4,487"
Secretary of State,Maricopa,99.73%,"Gaynor, Steve (REP)","540,281"
Secretary of State,Maricopa,99.73%,"Hobbs, Katie (DEM)","535,956"
Secretary of State,Maricopa,99.73%,TOTAL,"1,076,237"
Secretary of State,Mohave,100.00%,"Gaynor, Steve (REP)","47,353"
Secretary of State,Mohave,100.00%,"Hobbs, Katie (DEM)","17,051"
