"state","county","fips","trump16","clinton16","otherpres16","romney12","obama12","otherpres12","demsen16","repsen16","othersen16","demhouse16","rephouse16","otherhouse16","demgov16","repgov16","othergov16","repgov14","demgov14","othergov14","total_population","cvap","white_pct","black_pct","hispanic_pct","nonwhite_pct","foreignborn_pct","female_pct","age29andunder_pct","age65andolder_pct","median_hh_inc","clf_unemploy_pct","lesshs_pct","lesscollege_pct","lesshs_whites_pct","lesscollege_whites_pct","rural_pct","ruralurban_cc"
"Alabama","Autauga",1001,18172,5936,865,17379,6363,190,6331,18220,62,7544,14315,2258,NA,NA,NA,9427,3638,0,55049,40690,75.6834819887736,18.3709059201802,2.57225381024178,24.3165180112264,1.83836218641574,51.1762248178895,40.0370578938764,13.9784555577758,53099,5.59165726292852,12.4170460154665,75.4072286513465,10.0021116351095,74.065601464067,42.0021623206465,2
"Alabama","Baldwin",1003,72883,18458,3874,66016,18424,898,19145,74021,248,0,76995,1991,NA,NA,NA,37650,8416,0,199510,151770,83.1787880306752,9.22560272668037,4.36669841110721,16.8212119693248,3.26951030023558,51.1949275725528,35.4744123101599,18.7148513858954,51365,6.28684322938915,9.97241793263116,70.4528889714604,7.84222699350902,68.4056072751992,42.2790991139275,3
"Alabama","Barbour",1005,5454,4871,144,5550,5912,47,4777,5436,16,5297,4286,463,NA,NA,NA,3111,3651,0,26614,20375,45.8856241076125,47.8883294506651,4.30976177951454,54.1143758923875,2.85939730968663,46.4980837153378,37.6643871646502,16.5288945667694,33956,12.8247382706475,26.2359275575135,87.1322129765595,19.5797516714422,81.3647458346599,67.7896347015333,6
"Alabama","Bibb",1007,6738,1874,207,6132,2202,86,2082,6612,17,1971,6670,15,NA,NA,NA,3525,1368,0,22572,17590,74.7651958178274,21.2121212121212,2.22399432925749,25.2348041821726,1.35123161438951,46.4646464646465,37.3294346978558,14.8856990962254,39776,7.14682672001778,19.3015873015873,88,15.0204900894873,87.4717738563185,68.3526074623609,1
"Alabama","Blount",1009,22859,2156,573,20757,2970,279,2980,22169,48,2390,22367,47,NA,NA,NA,12074,2178,0,57704,42430,87.6577013725218,1.55795092194649,8.72729793428532,12.3422986274782,4.27180091501456,50.4852349923749,37.2400526826563,17.1929155691113,46212,5.95383275261324,19.9685853263073,86.950243210377,16.6433683739656,86.1636099306643,89.9515020411012,1
"Alabama","Bullock",1011,1140,3530,40,1251,4061,10,3364,1167,6,3517,889,80,NA,NA,NA,747,2440,0,10552,8195,21.683093252464,75.5022744503412,0.123199393479909,78.316906747536,1.51630022744503,45.8017437452616,37.9359363153904,15.1345716451857,29335,13.2585203657523,33.4378835401609,89.744988408564,11.7803837953092,79.1577825159915,51.3743815283123,6
"Alabama","Butler",1013,4901,3726,105,5087,4374,35,3663,4840,7,4088,3918,321,NA,NA,NA,3148,2741,0,20280,15425,52.7810650887574,43.5157790927022,1.24753451676529,47.2189349112426,1.39546351084813,53.0473372781065,37.0562130177515,18.1262327416174,34315,9.80482734726874,18.9404258369776,83.9199942648219,14.6041798606713,80.0759974667511,71.2321573495011,6
"Alabama","Calhoun",1015,32865,13242,1757,30278,15511,468,14152,32976,69,14000,33175,75,NA,NA,NA,17688,9082,0,115883,88525,72.9977649870991,20.3317138838311,3.43622446778216,27.0022350129009,2.393793740238,51.8980350871137,38.7830829371004,15.9307232294642,41954,11.6818215976554,17.6631367513762,82.3470334727502,16.3995108569918,81.6406120897643,33.6968255574672,3
"Alabama","Chambers",1017,7843,5784,273,7626,6871,114,5845,7865,18,5796,7907,16,NA,NA,NA,3635,4587,0,34018,26480,56.7434887412546,40.4785701687342,0.435063789758363,43.2565112587454,0.990652007760597,52.0871303427597,35.8721853136575,18.387324357693,36027,7.489945275928,19.7367317850256,87.515720633856,15.2953512757777,83.8587906326459,49.1480344877978,6
"Alabama","Cherokee",1019,8953,1547,233,7506,2132,141,1915,8636,7,1702,8707,12,NA,NA,NA,5007,1868,0,25897,20505,91.8716453643279,4.60671120206974,1.56388770900104,8.12835463567208,0.725952813067151,50.2529250492335,32.7103525504885,20.3228173147469,38925,5.85573104276346,18.7172354766235,86.0383010591634,19.2564073095047,85.7832433053672,85.7362730385933,6
"Alabama","Chilton",1021,15081,2911,377,13932,3397,133,3327,14582,25,2996,14723,12,NA,NA,NA,9028,2419,0,43817,31555,80.6102654220964,10.0098135426889,7.62489444736061,19.3897345779036,5.55720382499943,50.7976356208777,38.8342424173266,15.2497888947212,42594,7.93858045646838,19.9024718345384,85.1454514881453,17.8497921627184,84.3819363170427,86.7447242398552,1
"Alabama","Choctaw",1023,4106,3109,77,4152,3786,30,2992,4035,8,4332,0,94,NA,NA,NA,2380,1947,0,13287,10515,56.2053134642884,42.2292466320464,0.55693535034244,43.7946865357116,0.165575374426131,52.2164521712953,33.4010687137804,20.7496048769474,32622,13.6428137036286,21.14733276884,88.0397967823878,17.6889375684556,87.4589266155531,100,9
"Alabama","Clarke",1025,7140,5749,142,7470,6334,47,5558,7158,14,5214,2848,127,NA,NA,NA,5000,3524,0,24847,19195,53.1774459693323,45.4944258864249,0.173059121825573,46.8225540306677,0.466857165855033,52.7588843723588,36.6040165814786,18.0625427617016,32735,17.0833333333333,18.9578192926801,87.8627658324521,14.1369977097647,82.0841140953571,75.980335230132,7
"Alabama","Clay",1027,5245,1237,142,4817,1777,68,1377,5147,4,1317,5231,4,NA,NA,NA,3199,1215,0,13483,10360,80.2640361937254,14.7444930653415,3.10761699918416,19.7359638062746,1.89127048876363,51.5538084995921,34.8438774753393,19.4022101906104,38815,6.59153005464481,25.3864069447385,88.9371162396782,21.8043202033037,87.5222363405337,100,9
"Alabama","Cleburne",1029,5764,684,145,5272,971,62,847,5554,6,769,5644,4,NA,NA,NA,3129,717,0,14991,11295,92.7956774064439,2.36141685011007,2.32806350476953,7.20432259355613,1.74771529584417,50.4836235074378,36.1416850110066,18.1642318724568,36316,7.17360114777618,25.815164962377,88.4719274551418,24.2629686697483,88.6594761171032,100,8
